FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
2369	NA19708	-0.01959766	-0.0063659	0.02142307	-0.0008331205	-0.004784908	-0.002269529	0.01593568	0.006991251	-0.009426664	0.02027857
2487	NA20341	-0.0265482	-0.001329134	0.02706121	0.007061006	-0.0086436	0.01437033	-0.001610607	0.01487076	0.006627262	-0.01618493
2431	NA19918	-0.03420213	0.00204191	0.03322781	0.001738173	-0.004115583	0.007995449	0.02282074	0.03258139	0.01005994	-0.008149115
2418	NA19828	-0.02230134	-0.005307204	0.02444257	0.001501305	-0.007457259	-0.0005824757	0.01139671	0.008824291	-0.009798436	0.001789289
2437	NA19985	-0.0226774	-0.005487502	0.02689485	-0.003063679	-0.01295312	-0.005363269	0.006313564	0.006018916	-0.02228425	-0.01068045
2466	NA20276	-0.02854713	-0.0009591804	0.02332642	-0.0005512332	-0.009595117	0.0002268839	-0.003186658	-0.000674064	-0.002703844	0.002516361
2446	NA20127	-0.03294826	0.003560916	0.02785824	0.00432168	-0.003657268	-0.002760066	0.009133494	-0.0005643693	0.0001958613	-0.009324383
2436	NA19983	-0.02573898	-0.003386213	0.02292196	-0.001258689	-0.01323656	-0.002609862	0.01341595	-0.003850254	-0.02896182	-0.0173558
1328	NA06989	0.02241142	-0.04137087	0.007888215	-0.01134362	-0.02694552	0.002283891	0.003218377	-0.0006543251	-0.009501839	-0.0005080802
1377	NA11891	0.02283512	-0.04159879	0.009228625	-0.01826386	-0.02437127	0.003546207	0.006664938	0.01043578	-0.01587402	-0.003933299
1349	NA11843	0.02293161	-0.04147874	0.009963754	-0.01791984	-0.02514434	-0.005993352	0.0001973085	0.00721009	-0.0002819328	-0.0007741585
1330	NA12341	0.02112206	-0.040833	0.005208912	-0.01255296	-0.02665492	0.000715349	-0.001593469	-0.008308937	0.01099998	-0.003452739
1444	NA12739	0.02239074	-0.04250336	0.006825677	-0.01674255	-0.02640544	-0.005891559	0.001675649	0.019574	-0.01574441	-0.01203991
1344	NA10850	0.02173363	-0.04133501	0.004102117	-0.0155695	-0.02251536	-0.005216156	-0.005648428	0.01073194	-0.002562839	-0.006486783
1328	NA06984	0.02263626	-0.04136455	0.008750426	-0.01343734	-0.02250191	0.001589376	0.002566968	0.0008809117	0.0008926333	-0.001613477
1463	NA12877	0.02234572	-0.04185724	0.009417491	-0.01622057	-0.02908545	-0.005208966	0.007882813	0.02711234	-0.0008540615	0.003725734
1418	NA12275	0.02162683	-0.04196379	0.01145327	-0.01621032	-0.02292688	-0.0006801093	0.006300791	-0.01285595	-0.007103453	-0.001092249
13291	NA06986	0.0219121	-0.04195205	0.009633965	-0.008862167	-0.03095756	-0.005016371	0.0004331354	0.01639767	-0.009243662	0.01096246
1418	NA12272	0.02118888	-0.04254969	0.003779225	-0.01531058	-0.02941092	-0.0002251381	-0.002477815	-0.002249646	0.004430147	0.004422522
1424	NA10845	0.02202695	-0.04166716	0.006987396	-0.01183514	-0.02716786	-0.00939225	0.01045353	0.01002256	-0.002709481	-0.009617213
1346	NA10852	0.02255709	-0.04228058	0.006204857	-0.008528601	-0.02295154	0.004866856	0.001857581	0.007011963	-0.001774392	0.001097976
13292	NA07051	0.02299322	-0.04233748	0.01096733	-0.01269562	-0.0271512	0.004985847	-0.002195164	0.01137269	-0.002274122	-0.01827945
1354	NA12400	0.0237424	-0.04129481	0.008847291	-0.01392784	-0.02318686	0.004416845	0.005582502	0.004713704	-0.003035967	0.004524762
13281	NA12344	0.02292156	-0.041572	0.003017797	-0.01073692	-0.0256553	-0.009166713	-0.003659968	0.03075623	-0.02672707	0.003646329
1451	NA12777	0.02285015	-0.04275645	0.007095524	-0.01785812	-0.02766549	-0.005939182	-0.00792877	0.001021935	-0.001709143	0.002818967
1421	NA12287	0.02235831	-0.04283406	0.01075208	-0.0113989	-0.02460301	-0.005974508	-0.003402356	-0.004698055	0.001478003	-0.001017492
1418	NA10837	0.02161906	-0.0424234	0.005034659	-0.01410701	-0.02817616	0.006270092	-0.003342364	0.002398882	0.001502443	-0.008191236
1353	NA12383	0.02140573	-0.04252801	0.006481442	-0.012225	-0.02187294	0.006042612	0.003772707	0.01344639	-0.01004937	-0.005536599
1330	NA12340	0.02181127	-0.04224263	0.01308059	-0.01447715	-0.02459381	-0.0002492698	0.002258289	0.005472353	0.007102185	-0.0009334894
1358	NA12708	0.02245303	-0.04022778	0.007017071	-0.01338445	-0.02043176	0.00537063	0.007776588	0.017393	0.0002847391	-0.004575593
1418	NA12273	0.02207264	-0.04128537	0.001848282	-0.01583455	-0.02383102	0.001520718	-0.002614162	0.005676881	-0.002276134	-0.00883525
1377	NA11892	0.02210636	-0.04190432	0.01097845	-0.009869405	-0.02589695	-0.004156437	0.004512443	0.01222827	-0.01720163	0.004097419
1353	NA12546	0.02214053	-0.04177057	0.006538088	-0.01447768	-0.02492343	-0.004102004	-0.01116746	-0.004909912	-0.008079456	-0.01514351
1458	NA12843	0.02162457	-0.0398323	0.009504727	-0.01525238	-0.02316875	0.0009311837	0.008008061	0.009925365	-0.01219647	0.007558138
1451	NA12766	0.022983	-0.0418156	0.01121849	-0.01707769	-0.02012014	-0.00931755	0.008564214	0.008667617	-0.006546703	-0.000953993
13281	NA12348	0.02304432	-0.04126479	0.005745211	-0.01562839	-0.02191205	-0.009878807	0.0008806403	0.02727946	-0.02006402	-0.001296202
1456	NA12817	0.02101353	-0.04276671	0.01003495	-0.01972231	-0.02747379	-0.001280732	-0.01016916	0.01286008	-0.001937478	0.00531111
1421	NA10840	0.0237183	-0.04257901	0.008509405	-0.01114578	-0.02800004	-0.003101386	0.005088994	0.001416944	0.007662677	-0.002067223
13291	NA06997	0.02200055	-0.04180527	0.01397424	-0.01419995	-0.03479625	-0.00880212	0.009324467	0.03138123	-0.02459804	0.0194015
1423	NA11917	0.02158922	-0.04013439	0.006042529	-0.01003585	-0.0224463	0.01055092	0.00136895	0.01097791	-0.003725759	-0.004903586
1358	NA12718	0.0224533	-0.04121521	0.007060672	-0.01449164	-0.01980171	0.004278662	0.009765752	0.01281976	0.0007340642	0.001857679
1421	NA12282	0.02144465	-0.04117655	0.007229546	-0.01695638	-0.01975253	-0.003905582	-0.0002401551	0.01059856	0.006112601	-0.005861892
1423	NA11920	0.02197277	-0.04335907	0.007440753	-0.01536218	-0.02828698	-0.006797893	-0.008022673	-0.00407949	-0.00255331	-0.002300298
1451	NA12776	0.02308285	-0.04071316	0.01093667	-0.01515399	-0.01980248	-0.01099401	0.008067031	0.007006306	-0.0050519	-0.005092436
1421	NA12283	0.02228578	-0.04062431	0.002054367	-0.01354445	-0.02279451	0.004465535	-0.01004202	0.009891414	-0.001561425	0.002502181
13291	NA07435	0.02226345	-0.04190686	0.00904662	-0.01475291	-0.02874162	0.006750629	0.005684571	0.009808231	-0.001599791	0.00793462
1456	NA12828	0.02223374	-0.04117179	0.009699555	-0.01710997	-0.02798627	-0.00650183	-0.01168561	0.01151498	0.001999219	0.007293465
13291	NA07045	0.02286648	-0.04193824	0.01489046	-0.02087923	-0.03105396	-0.01267506	0.01050866	0.02594354	-0.02445954	0.01401592
13292	NA07031	0.02332401	-0.04112501	0.006215275	-0.01829372	-0.03251247	-0.004030388	-0.007863852	0.001739806	-0.009152034	-0.007165111
1330	NA12336	0.02253088	-0.04205319	0.007100679	-0.0195078	-0.02596729	-0.008532256	-0.01205322	0.01598799	-0.01591218	0.003491619
1345	NA07349	0.02364345	-0.04219332	0.01095875	-0.01573938	-0.02929196	0.002451802	-0.003202062	0.008414193	-0.02039436	-0.02331548
1456	NA12827	0.02116749	-0.04226151	0.01055272	-0.01621775	-0.02301331	0.0001089735	-0.002507401	0.01094833	-0.004795605	0.003199402
1353	NA12375	0.02118142	-0.04181011	0.00374167	-0.01403417	-0.02570622	0.0003192666	0.0008937252	0.01815069	-0.01492715	-0.003389057
1330	NA12343	0.02293278	-0.04075457	0.005184884	-0.01631363	-0.02308298	-0.002119883	-0.0106184	0.0107486	-0.01996591	0.000400532
1330	NA12335	0.02222104	-0.04128326	0.00937695	-0.01606054	-0.02261105	-0.004461467	0.0003634882	-0.006220944	0.01729768	0.001208108
1451	NA12778	0.02234842	-0.04249727	0.008041346	-0.01211893	-0.02112851	0.01137018	-0.006483632	0.0009353826	-0.01718441	0.002079408
1458	NA12832	0.02373172	-0.0421536	0.01293811	-0.02000951	-0.03047838	-0.006139307	0.0009430438	0.01824603	-0.01416358	0.00380603
1424	NA11930	0.0215391	-0.04089287	0.004568792	-0.008167695	-0.02538572	-0.005746946	0.01078765	0.01548805	0.003495447	-0.007748976
1463	NA12890	0.02294444	-0.04137459	0.008645024	-0.01525263	-0.02533428	-0.005409795	0.01021383	0.02700253	-0.01070157	0.006112344
13291	NA07037	0.02271783	-0.04258754	0.0101422	-0.0140658	-0.0258127	0.01140267	0.005361279	0.01327006	0.0006764677	-0.0007371141
1345	NA07347	0.02207291	-0.04249611	0.008874865	-0.01424218	-0.02448706	0.008108582	-0.005930924	0.001711166	-0.01058468	-0.01690996
1456	NA12829	0.02198024	-0.0418695	0.004768918	-0.01213527	-0.0204676	0.003396337	9.583997e-05	0.003798634	-0.0101417	0.0008089056
1444	NA12749	0.02261908	-0.04210775	0.008216206	-0.0132338	-0.02462035	-0.005156627	-0.0005796738	0.01687117	-0.009518165	-0.01017999
1377	NA11894	0.02170439	-0.04160172	0.009110634	-0.0135165	-0.02518846	-0.004760927	0.00718741	0.003348777	-0.009270854	-0.007617516
1421	NA12286	0.02289606	-0.04115918	0.005007133	-0.008598021	-0.02692707	-0.003419172	0.007831885	0.006551561	-0.001258369	-0.007637417
1377	NA10865	0.02265457	-0.04263265	0.009865734	-0.01486945	-0.02843522	-0.001382925	0.004080774	0.004020822	-0.02239072	0.002292021
1377	NA10864	0.02284787	-0.0412874	0.01027178	-0.01399054	-0.02419636	-0.004544526	0.0002456663	0.009959946	-0.01268265	-0.0158078
1349	NA10853	0.02272376	-0.04081375	0.007381099	-0.01695146	-0.02312991	-0.007028304	-0.005673612	0.001953743	-0.002975334	0.004263846
1423	NA11918	0.0227159	-0.0419356	0.004674652	-0.01359315	-0.02109911	0.001177809	-0.004481377	0.006282229	-0.007954348	0.007944638
1456	NA12830	0.02354987	-0.04048111	0.01044611	-0.01649042	-0.02189347	0.008270379	-0.006165886	0.003331505	-0.00857809	0.001013076
1456	NA12818	0.02342253	-0.04144638	0.005588494	-0.01669438	-0.01981787	0.0070369	-0.003783148	0.002654869	-0.0165613	0.000497727
1418	NA10836	0.02181633	-0.04221251	0.009940126	-0.01492479	-0.02549464	0.001393337	0.008934594	-0.01109586	-0.007845232	-0.007501318
1377	NA11893	0.02326223	-0.0408095	0.008230571	-0.01230028	-0.01994256	-0.002362589	-0.005757373	0.007454228	-0.01388631	-0.009943633
1423	NA11919	0.02243709	-0.04220185	0.003145242	-0.008960831	-0.0237215	-0.006522309	-0.009260566	0.007011828	0.002637131	-0.008961186
1353	NA12489	0.02210091	-0.04205037	0.009134725	-0.01320971	-0.02404771	-0.00268405	-0.005017222	0.0001549668	-0.01133113	-0.005110249
1354	NA12399	0.02171646	-0.04214822	0.004482401	-0.01503674	-0.02403862	0.0005233286	0.00180364	0.0009429289	0.0009466915	0.006579728
1355	NA12413	0.02256643	-0.04132738	0.004876494	-0.01213966	-0.01868108	0.006224774	-0.002734602	0.007383586	-0.001895776	0.001329518
1423	NA10843	0.02249147	-0.04354616	0.004083325	-0.01290536	-0.02852533	-0.009719259	-0.007671117	0.0005630912	0.002817594	-0.01228515
1458	NA12842	0.02309367	-0.043165	0.009565012	-0.01796226	-0.02878738	-0.005175465	-0.006398822	0.01163569	-0.01017294	-0.0003894563
13281	NA12347	0.02266792	-0.04217388	0.00499476	-0.01033326	-0.025597	-0.004686173	-0.006651747	0.02316838	-0.02096062	0.0006275156
1345	NA07346	0.02399033	-0.04185624	0.009515158	-0.01247892	-0.02823464	-0.005259073	0.0006399892	0.01536757	-0.01837503	-0.01635018
1451	NA12775	0.02358219	-0.04161871	0.01148929	-0.0123395	-0.01973894	0.0001410071	0.003526247	0.008117021	-0.007526963	-0.0003726164
13292	NA07014	0.02278153	-0.04203404	0.007667504	-0.01507807	-0.03141794	-0.003601198	-0.002921795	0.01033765	-0.006964885	-0.01365832
1451	NA12767	0.02302262	-0.0437539	0.008687615	-0.01752861	-0.02522867	0.004178951	-0.01465093	0.005609712	-0.01201629	0.003478044
1463	NA12889	0.02246067	-0.04128095	0.007390965	-0.01431237	-0.02433322	-0.002234746	0.00235746	0.01220362	0.009677049	-0.0001077684
1354	NA12386	0.02336457	-0.04177652	0.005441129	-0.01707061	-0.02492332	0.00521265	0.001719952	0.004245965	-3.162652e-05	0.003719165
13291	NA06995	0.02228204	-0.04157604	0.01079775	-0.01562195	-0.02735924	0.01412382	0.003015455	0.01089172	1.156518e-05	0.00260814
1353	NA12376	0.02259334	-0.04269781	0.008233656	-0.01416512	-0.02751494	-0.002048706	-0.01235718	-0.005563512	-0.01364894	-0.01502795
1330	NA12342	0.02272807	-0.04222044	0.007799731	-0.0163244	-0.0231507	-0.0165861	-0.008945462	0.01488302	-0.01016436	0.003084748
1444	NA12748	0.02238601	-0.04098616	0.004790477	-0.01391864	-0.02594004	-0.001717628	-0.003168701	0.01672903	-0.01422139	-0.01055652
1424	NA11931	0.0224219	-0.04319678	0.006755503	-0.01463623	-0.02553035	-0.006769829	0.002834418	0.002136337	-0.00664198	-0.004938094
1346	NA12045	0.02252044	-0.04171547	0.00948799	-0.01649126	-0.0251069	0.0004179401	0.001290895	0.007686959	-0.004971057	0.00576971
1444	NA12750	0.02317329	-0.04132578	0.005911466	-0.01455333	-0.02761469	0.00686348	-0.007677917	0.0095996	-0.005557538	0.004412718
1350	NA11831	0.02171714	-0.04104794	0.001991536	-0.01393859	-0.02302184	-0.0009743753	-6.159301e-05	-0.001622445	-0.001852982	-0.002915714
1334	NA12146	0.02164714	-0.04328561	0.01120144	-0.01595136	-0.02198324	-0.008100669	0.006388379	0.005371118	-0.01147435	0.00915426
1347	NA11882	0.02146687	-0.04233353	0.005802501	-0.0111567	-0.02342817	-0.003061149	0.008522584	0.002541134	-0.01946923	-0.007766889
1340	NA07056	0.02245689	-0.04123349	0.007590848	-0.01322687	-0.02199443	0.005298105	-0.002166174	0.00632708	0.00232993	-0.003288616
1358	NA12707	0.02146861	-0.04176288	0.01140795	-0.01486816	-0.02266955	-0.01086347	-0.0008974612	0.00945849	-0.003185983	-0.01651903
1408	NA12154	0.02377885	-0.04124138	0.008278901	-0.01213088	-0.02239969	-0.001247499	-0.003452422	0.0072976	-0.02292357	-0.001394332
1447	NA12753	0.021915	-0.04064792	0.006599309	-0.01303293	-0.02321544	0.004414895	-0.003037524	-0.003599371	-0.0003004724	-0.01033153
1349	NA11839	0.02185601	-0.04100986	0.008469399	-0.01414452	-0.026805	0.0007377212	0.006578779	0.002105167	-0.01087518	-0.01641835
1347	NA10859	0.0225145	-0.04172235	0.006289672	-0.01345614	-0.02472539	-0.00786887	0.009516128	0.004404545	-0.01770577	-0.01631769
1459	NA12875	0.02187026	-0.04157084	0.009316129	-0.009393668	-0.02429163	0.003125609	0.0009008669	0.01746124	-0.01470754	-0.006066913
1345	NA07348	0.02276946	-0.0424118	0.007857938	-0.01728477	-0.0260287	-0.01245347	0.00108295	0.01557944	-0.02395313	0.01039196
1408	NA12156	0.02261061	-0.04186845	0.01177291	-0.01451986	-0.02723535	-0.001046233	0.009846539	-0.001184179	0.001206099	0.003028996
1346	NA12044	0.02251252	-0.04182723	0.0090698	-0.01692575	-0.02146422	0.005174506	-0.007561756	0.007056151	-0.007798569	0.004986736
1362	NA11992	0.0217188	-0.04222312	0.006109517	-0.01467552	-0.02190804	0.002296791	0.001903139	0.005732795	0.002482245	-0.004988533
1350	NA11829	0.02321408	-0.04175153	0.01115848	-0.008198567	-0.022608	-9.098536e-05	0.01244275	0.008048866	0.0007980122	-0.0030423
1334	NA12239	0.02225232	-0.04135177	0.005318104	-0.0160552	-0.01867955	-0.01676444	0.01251655	0.0159414	-0.004377667	-0.002183002
1447	NA12762	0.02307985	-0.04204493	0.008985885	-0.0114021	-0.02150616	-0.0006081407	-0.0007435389	-0.001568508	0.0001275006	-0.006075899
1358	NA12716	0.02240188	-0.04379255	0.007183476	-0.01392589	-0.02586366	-0.01163436	0.003699732	0.009742351	0.00632235	-0.01587486
1463	NA12878	0.02210358	-0.04274842	0.01071805	-0.01218223	-0.0234058	-0.01364585	0.004587771	0.02188713	-0.01228059	0.009129124
